As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,Argmax_Model_Uniques,Argmax_Model_Valids_Uniques,Argmax_Model_Valids,Argmax_Model_Unique_Counts,Argmax_Model_Valid_Unique_Counts,Argmax_Model_Valid_Counts,Argmax_True_Uniques,Argmax_True_Valids_Uniques,Argmax_True_Valids,Argmax_True_Unique_Counts,Argmax_True_Valid_Unique_Counts,Argmax_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_Model_Unique_Counts,Upwards_Model_Valid_Unique_Counts,Upwards_Model_Valid_Counts,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,Upwards_True_Unique_Counts,Upwards_True_Valid_Unique_Counts,Upwards_True_Valid_Counts,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_Model_Unique_Counts,altUpwards_Model_Valid_Unique_Counts,altUpwards_Model_Valid_Counts,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids,altUpwards_True_Unique_Counts,altUpwards_True_Valid_Unique_Counts,altUpwards_True_Valid_Counts
[1 0 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 0 0],[0 3 4 0 1],[0 3 4 0 1],True,True,0.9375,0.890625,"[np.int64(4), np.int64(0), np.int64(0), np.int64(3), np.int64(0)]","[np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(4)]",False,False,0.0,0.0,[0 2 4 0 1],[0 3 4 0 1],False,True,0.875,0.75,[0. 4. 4. 0. 1.],[0. 4. 4. 0. 1.],False,False,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.24,0.6666666666666666,0.84,6,4,21,0.24,0.6666666666666666,0.56,6,4,14,0.28,0.42857142857142855,0.8,7,3,20,0.16,0.75,0.76,4,3,19
[0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0],[0 0 1 2 0],[0 0 1 2 0],True,True,0.9375,0.890625,"[np.int64(4), np.int64(3), np.int64(4), np.int64(0), np.int64(3)]","[np.int64(3), np.int64(4), np.int64(4), np.int64(4), np.int64(0)]",False,False,0.0,0.0,[0 2 4 2 0],[0 2 1 2 0],True,False,0.875,0.75,[0. 4. 1. 2. 0.],[0. 0. 1. 2. 0.],True,True,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.32,0.5,0.72,8,4,18,0.2,0.8,0.92,5,4,23,0.36,0.5555555555555556,0.72,9,5,18,0.24,0.8333333333333334,0.68,6,5,17
[1 0 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1],[0 4 4 0 0],[0 4 4 0 0],True,True,0.9375,0.890625,"[np.int64(4), np.int64(1), np.int64(1), np.int64(4), np.int64(4)]","[np.int64(4), np.int64(3), np.int64(1), np.int64(3), np.int64(4)]",False,False,0.0,0.0,[0 4 4 0 0],[0 3 4 1 0],True,False,0.875,0.75,[0. 4. 4. 1. 3.],[0. 4. 4. 0. 1.],False,False,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.48,0.25,0.4,12,3,10,0.44,0.5454545454545454,0.6,11,6,15,0.56,0.21428571428571427,0.24,14,3,6,0.36,0.4444444444444444,0.6,9,4,15
[1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 1 1 1],[0 0 4 4 1],[0 4 3 4 1],True,False,0.9375,0.890625,"[np.int64(2), np.int64(2), np.int64(2), np.int64(4), np.int64(0)]","[np.int64(4), np.int64(1), np.int64(4), np.int64(3), np.int64(1)]",False,False,0.0,0.0,[0 0 4 0 2],[0 3 3 4 0],False,True,0.875,0.75,[0. 3. 0. 4. 1.],[0. 3. 3. 0. 2.],False,True,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.92,0.5217391304347826,0.52,23,12,13,0.72,0.6111111111111112,0.48,18,11,12,0.8,0.45,0.44,20,9,11,0.76,0.47368421052631576,0.48,19,9,12
[0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0],[0 0 0 2 1],[0 0 1 2 1],True,True,0.9375,0.890625,"[np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(4)]","[np.int64(0), np.int64(2), np.int64(3), np.int64(0), np.int64(0)]",False,False,0.0,0.0,[0 0 1 2 0],[0 0 1 2 1],True,True,0.875,0.75,[0. 4. 0. 2. 0.],[0. 0. 0. 2. 1.],True,True,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.96,0.041666666666666664,0.04,24,1,1,1.0,0.0,0.0,25,0,0,0.4,0.6,0.72,10,6,18,0.32,0.5,0.52,8,4,13,0.44,0.7272727272727273,0.68,11,8,17,0.48,0.6666666666666666,0.68,12,8,17
[1 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0],[0 0 0 1 0],[0 3 0 1 0],True,False,0.9375,0.890625,"[np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(1)]","[np.int64(4), np.int64(3), np.int64(3), np.int64(2), np.int64(0)]",False,False,0.0,0.0,[0 0 0 2 0],[0 0 0 1 0],True,True,0.875,0.75,[0. 4. 0. 2. 0.],[0. 0. 0. 1. 0.],True,True,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.44,0.7272727272727273,0.84,11,8,21,0.32,0.875,0.88,8,7,22,0.48,0.75,0.88,12,9,22,0.4,0.9,0.68,10,9,17
[0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1],[0 3 3 0 0],[0 2 3 0 2],True,True,0.9375,0.890625,"[np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(1)]","[np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(4)]",False,False,0.0,0.0,[0 3 3 0 3],[0 3 3 0 0],True,True,0.875,0.75,[0. 3. 3. 0. 0.],[0. 2. 1. 0. 2.],True,False,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.2,0.6,0.88,5,3,22,0.32,0.75,0.84,8,6,21,0.2,0.6,0.92,5,3,23,0.44,0.8181818181818182,0.88,11,9,22
[0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1],[0 4 0 2 0],[0 4 4 2 0],True,True,0.9375,0.890625,"[np.int64(3), np.int64(3), np.int64(1), np.int64(4), np.int64(3)]","[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(1)]",False,False,0.0,0.0,[0 2 4 2 0],[0 2 4 2 0],True,True,0.875,0.75,[0. 3. 0. 2. 3.],[0. 4. 4. 2. 0.],True,True,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.68,0.5294117647058824,0.56,17,9,14,0.4,0.7,0.68,10,7,17,0.52,0.6923076923076923,0.84,13,9,21,0.56,0.6428571428571429,0.72,14,9,18
[1 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0],[0 0 0 1 0],[0 3 0 1 0],True,False,0.9375,0.890625,"[np.int64(2), np.int64(4), np.int64(0), np.int64(4), np.int64(4)]","[np.int64(0), np.int64(2), np.int64(2), np.int64(4), np.int64(3)]",False,False,0.0,0.0,[0 2 0 2 0],[0 3 0 1 0],True,False,0.875,0.75,[0. 0. 0. 4. 0.],[0. 3. 0. 1. 0.],True,False,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,0.96,0.0,0.0,24,0,0,0.56,0.7857142857142857,0.88,14,11,22,0.36,0.8888888888888888,0.8,9,8,20,0.48,0.75,0.8,12,9,20,0.36,0.8888888888888888,0.8,9,8,20
[0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1],[0 2 4 2 0],[0 2 4 2 0],True,True,0.9375,0.890625,"[np.int64(3), np.int64(4), np.int64(2), np.int64(2), np.int64(2)]","[np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(3)]",False,False,0.0,0.0,[0 2 4 2 0],[0 2 4 2 0],True,True,0.875,0.75,[0. 2. 4. 2. 0.],[0. 2. 4. 2. 0.],True,True,0.765625,0.78125,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,0.96,0.0,0.0,24,0,0,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
