As,Source_Nodes,Categorical_Model_Trees,Categorical_True_Trees,Categorical_Model_Mask,Categorical_True_Mask,Categorical_Model_Accuracy,Categorical_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Prim_Model_Trees,Prim_True_Trees,Prim_Model_Mask,Prim_True_Mask,Prim_Model_Accuracy,Prim_True_Accuracy,Beam_Model_Trees,Beam_True_Trees,Beam_Model_Mask,Beam_True_Mask,Beam_Model_Accuracy,Beam_True_Accuracy,Categorical_Model_Uniques,Categorical_Model_Valids_Uniques,Categorical_Model_Valids,Categorical_Model_Unique_Counts,Categorical_Model_Valid_Unique_Counts,Categorical_Model_Valid_Counts,Categorical_True_Uniques,Categorical_True_Valids_Uniques,Categorical_True_Valids,Categorical_True_Unique_Counts,Categorical_True_Valid_Unique_Counts,Categorical_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Prim_Model_Uniques,Prim_Model_Valids_Uniques,Prim_Model_Valids,Prim_Model_Unique_Counts,Prim_Model_Valid_Unique_Counts,Prim_Model_Valid_Counts,Prim_True_Uniques,Prim_True_Valids_Uniques,Prim_True_Valids,Prim_True_Unique_Counts,Prim_True_Valid_Unique_Counts,Prim_True_Valid_Counts,Beam_Model_Uniques,Beam_Model_Valids_Uniques,Beam_Model_Valids,Beam_Model_Unique_Counts,Beam_Model_Valid_Unique_Counts,Beam_Model_Valid_Counts,Beam_True_Uniques,Beam_True_Valids_Uniques,Beam_True_Valids,Beam_True_Unique_Counts,Beam_True_Valid_Unique_Counts,Beam_True_Valid_Counts
"[0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0
 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0
 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0
 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1]",0,[ 0  0  5  6  0  0 13  1  5  0  0 14  1  4  0  9],[ 0  0  5  6  0  0 13 10  5  0  0 14  1 10  0  9],False,False,0.640625,0.6875,"[np.int64(4), np.int64(10), np.int64(11), np.int64(6), np.int64(10), np.int64(15), np.int64(14), np.int64(4), np.int64(9), np.int64(8), np.int64(4), np.int64(14), np.int64(11), np.int64(6), np.int64(5), np.int64(7)]","[np.int64(14), np.int64(1), np.int64(4), np.int64(10), np.int64(2), np.int64(9), np.int64(15), np.int64(9), np.int64(2), np.int64(7), np.int64(13), np.int64(13), np.int64(3), np.int64(14), np.int64(13), np.int64(12)]",False,False,0.0,0.0,[ 0  0  5  6  0  0 13  4  5  0  0  5  1 10  0 10],[ 0  0  5  6  0  0 13  4  5  0  0  5 10  4  0 10],False,True,0.625,0.8125,[ 0  0  9  6  0  0 13 10  5  0  0 14 10 10  0 10],[ 0  0  5  6  0  0 13  1  5  0  0  5  1  4  0 10],True,True,0.71875,0.875,0.96,0.16666666666666666,0.16,24,4,4,0.84,0.3333333333333333,0.4,21,7,10,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.88,0.5,0.56,22,11,14,0.88,0.36363636363636365,0.4,22,8,10,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 1
 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1]",7,[ 5 10  5  5  7  7  7  7  9 14  3 14  4 12  7 11],[ 5 10  5  5  7  7  7  7  0 14  3  6  4 12  7 11],True,True,0.640625,0.6875,"[np.int64(1), np.int64(8), np.int64(6), np.int64(5), np.int64(3), np.int64(12), np.int64(4), np.int64(5), np.int64(7), np.int64(6), np.int64(0), np.int64(9), np.int64(14), np.int64(4), np.int64(9), np.int64(14)]","[np.int64(5), np.int64(6), np.int64(13), np.int64(2), np.int64(9), np.int64(4), np.int64(13), np.int64(2), np.int64(3), np.int64(9), np.int64(14), np.int64(0), np.int64(10), np.int64(0), np.int64(13), np.int64(13)]",False,False,0.0,0.0,[ 5 10  5  5  7  7  7  7 11 14  3 14  4 12  7  3],[ 5 10  5  5  7  7  7  7  0 14  3  6  4 12  7  3],True,True,0.625,0.8125,[ 5 10  5  5  7  7  7  7  9 14  3  5  4 12  7 11],[ 5 10  5  5  7  7  7  7  0 14  3  5  4 12  7  3],True,True,0.71875,0.875,0.6,1.0,1.0,15,15,25,0.52,1.0,1.0,13,13,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.64,1.0,1.0,16,16,25,0.44,1.0,1.0,11,11,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1
 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0
 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1]",4,[ 2  2  4  6  4  4  4  6  4  3  2  7 12  5  7  5],[ 2  8  4  6  4  4  4  5  4  3  8 13 12  5  0  5],True,True,0.640625,0.6875,"[np.int64(0), np.int64(15), np.int64(7), np.int64(12), np.int64(3), np.int64(13), np.int64(3), np.int64(1), np.int64(5), np.int64(7), np.int64(12), np.int64(9), np.int64(9), np.int64(15), np.int64(15), np.int64(8)]","[np.int64(6), np.int64(15), np.int64(12), np.int64(13), np.int64(2), np.int64(9), np.int64(8), np.int64(5), np.int64(13), np.int64(14), np.int64(6), np.int64(9), np.int64(6), np.int64(3), np.int64(9), np.int64(3)]",False,False,0.0,0.0,[ 2  8  4  6  4  4  4  5  4  3  2 13  2  5  0  5],[ 2  2  4  6  4  4  4  6  4  3  6 13 12  5  0  5],False,True,0.625,0.8125,[ 2  2  4  6  4  4  4  5  4  3  5 13  0  5 15  5],[2 2 4 6 4 4 4 5 4 3 8 7 0 5 0 5],False,False,0.71875,0.875,0.88,0.4090909090909091,0.4,22,9,10,0.88,0.5,0.44,22,11,11,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.96,0.0,0.0,24,0,0,0.8,0.5,0.44,20,10,11,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0
"[1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0
 0 1 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0]",15,[ 3  5 14 15 15  3  3 15  7  2  3  0  0  3 15 15],[ 3 10  7 15 15  3  3 15  7  2  3  0  0  4 15 15],True,True,0.640625,0.6875,"[np.int64(0), np.int64(6), np.int64(2), np.int64(5), np.int64(1), np.int64(7), np.int64(0), np.int64(3), np.int64(9), np.int64(0), np.int64(8), np.int64(8), np.int64(12), np.int64(14), np.int64(8), np.int64(14)]","[np.int64(8), np.int64(11), np.int64(9), np.int64(9), np.int64(15), np.int64(5), np.int64(8), np.int64(7), np.int64(4), np.int64(14), np.int64(7), np.int64(3), np.int64(12), np.int64(5), np.int64(9), np.int64(5)]",False,False,0.0,0.0,[ 3 10  7 15 15  3  3 15  7  2  3  0  6  4 15 15],[ 3  5 14 15 15  3  3 15  7  2  3  0  6  4 15 15],True,True,0.625,0.8125,[ 3  5  7 15 15  3  3 15  7  2  3  0  6  3 15 15],[ 3  5  7 15 15  3  3 15  7  2  3  0  0  3 15 15],True,True,0.71875,0.875,0.56,0.9285714285714286,0.96,14,13,24,0.52,1.0,1.0,13,13,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.56,1.0,1.0,14,14,25,0.6,1.0,1.0,15,15,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0
 0 1 1 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0
 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1
 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 0]",10,[ 9 11  6  2 13  6 10 10 15 11 10  7  4 10  2  6],[ 1 11  7  2 13  6 10 10  5  5 10  7  4 10  2  6],True,True,0.640625,0.6875,"[np.int64(15), np.int64(7), np.int64(6), np.int64(12), np.int64(7), np.int64(6), np.int64(4), np.int64(14), np.int64(14), np.int64(14), np.int64(13), np.int64(3), np.int64(13), np.int64(0), np.int64(11), np.int64(13)]","[np.int64(14), np.int64(9), np.int64(10), np.int64(1), np.int64(15), np.int64(5), np.int64(15), np.int64(5), np.int64(10), np.int64(8), np.int64(13), np.int64(10), np.int64(12), np.int64(4), np.int64(12), np.int64(4)]",False,False,0.0,0.0,[ 9 11 13  2 13  6 10 10  5 11 10  7  4 10  2  6],[ 9 11 13  2 13  6 10 10  5 11 10  7  4 10  5 13],False,True,0.625,0.8125,[ 1 11  7  2 13  6 10 10 15 11 10  7  4 10  5  6],[ 1 11  6  2 13  6 10 10  5  5 10  7  4 10  5  6],True,True,0.71875,0.875,0.92,0.6086956521739131,0.6,23,14,15,0.92,0.5652173913043478,0.6,23,13,15,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.88,0.6363636363636364,0.64,22,14,16,0.88,0.5,0.44,22,11,11,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",14,[14  6  9  0  5 14  0  5  5 14  6  9  0  7 14  1],[14  6  9  0  9 14  0  5  0 14  4  9  0  7 14  1],True,False,0.640625,0.6875,"[np.int64(7), np.int64(8), np.int64(8), np.int64(0), np.int64(14), np.int64(11), np.int64(13), np.int64(10), np.int64(0), np.int64(14), np.int64(8), np.int64(14), np.int64(9), np.int64(6), np.int64(13), np.int64(8)]","[np.int64(7), np.int64(15), np.int64(13), np.int64(9), np.int64(9), np.int64(10), np.int64(5), np.int64(4), np.int64(9), np.int64(2), np.int64(1), np.int64(12), np.int64(0), np.int64(6), np.int64(7), np.int64(7)]",False,False,0.0,0.0,[14  4  9  0  9 14  0  5  0 14 11  9  9  7 14  1],[14  6  9  0  5 14  0  5  0 14  4  9  0 12 14  1],False,False,0.625,0.8125,[14 11  9  0  9 14  0  5  5 14 11  9  9 12 14  1],[14  4  9  0  5 14  0  5  0 14  4  9  0 12 14  1],True,True,0.71875,0.875,0.96,0.2916666666666667,0.28,24,7,7,0.92,0.2608695652173913,0.24,23,6,6,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,1.0,0.28,0.28,25,7,7,0.8,0.4,0.4,20,8,10,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",14,[14  4  9  0  9 14  0  5  5 14 11  9  0 12 14  1],[14  6  9  0  9 14  0  5  0 14  4  9  0  7 14  1],False,False,0.640625,0.6875,"[np.int64(11), np.int64(1), np.int64(4), np.int64(15), np.int64(12), np.int64(8), np.int64(7), np.int64(0), np.int64(4), np.int64(9), np.int64(0), np.int64(9), np.int64(10), np.int64(14), np.int64(7), np.int64(12)]","[np.int64(5), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(11), np.int64(2), np.int64(8), np.int64(10), np.int64(13), np.int64(9), np.int64(0), np.int64(14), np.int64(10), np.int64(15)]",False,False,0.0,0.0,[14  6  9  0  9 14  0  5  0 14 11  9  9 12 14  1],[14 11  9  0  5 14  0  5  5 14 11  9  0 12 14  1],False,True,0.625,0.8125,[14 11  9  0  9 14  0  5  5 14 11  9  9 12 14  1],[14  4  9  0  5 14  0  5  0 14  4  9  0 12 14  1],True,True,0.71875,0.875,1.0,0.2,0.2,25,5,5,0.84,0.42857142857142855,0.48,21,9,12,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.84,0.42857142857142855,0.44,21,9,11,0.84,0.3333333333333333,0.32,21,7,8,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0
 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 1
 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1
 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1
 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0]",6,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],True,True,0.640625,0.6875,"[np.int64(2), np.int64(3), np.int64(14), np.int64(3), np.int64(0), np.int64(5), np.int64(4), np.int64(11), np.int64(11), np.int64(14), np.int64(15), np.int64(12), np.int64(9), np.int64(12), np.int64(11), np.int64(8)]","[np.int64(13), np.int64(14), np.int64(7), np.int64(2), np.int64(7), np.int64(7), np.int64(12), np.int64(14), np.int64(15), np.int64(9), np.int64(0), np.int64(5), np.int64(15), np.int64(0), np.int64(11), np.int64(15)]",False,False,0.0,0.0,[ 6  6  6  6  6  6  6  9  9  6  6  7  6 10 15 13],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],False,True,0.625,0.8125,[ 6  6  6  0  0  0  6  9  9  0  0  0  0 10 15 13],[6 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0],False,False,0.71875,0.875,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.16,0.0,0.0,4,0,0,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0
"[1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 0
 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1
 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1
 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 1 0
 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1]",13,[ 6  4 10  5 10 13 13 11 12 14 13  6  3 13  6  3],[ 6  4  5  5 10 13 13 11 12  3 13  5 14 13  6  2],False,False,0.640625,0.6875,"[np.int64(4), np.int64(1), np.int64(7), np.int64(7), np.int64(14), np.int64(12), np.int64(12), np.int64(6), np.int64(2), np.int64(4), np.int64(5), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(11)]","[np.int64(7), np.int64(13), np.int64(4), np.int64(2), np.int64(15), np.int64(2), np.int64(9), np.int64(4), np.int64(9), np.int64(10), np.int64(9), np.int64(5), np.int64(5), np.int64(15), np.int64(7), np.int64(9)]",False,False,0.0,0.0,[ 6  4  5  5 10 13 13 11 12  3 13  5  4 13  6 11],[ 6  4  5  5 10 13 13 11 12 14 13  6 14 13  6 11],True,True,0.625,0.8125,[ 6  4 10  5 10 13 13 11 12 14 13  5 14 13  6 11],[ 6  4  5  5 10 13 13 11 15  3 13  6  3 13  6  2],True,True,0.71875,0.875,0.96,0.5416666666666666,0.56,24,13,14,1.0,0.52,0.52,25,13,13,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.96,0.5833333333333334,0.6,24,14,15,0.96,0.4166666666666667,0.4,24,10,10,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0
 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1
 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0
 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1
 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0]",1,[ 4  1  1 13  1  2 14 15 14  2  4  4  4  1  2  4],[ 4  1  1 13  1  2 14 14 14  2  4  4  4  1 13  4],True,True,0.640625,0.6875,"[np.int64(2), np.int64(9), np.int64(11), np.int64(4), np.int64(10), np.int64(2), np.int64(12), np.int64(12), np.int64(7), np.int64(7), np.int64(3), np.int64(13), np.int64(4), np.int64(14), np.int64(8), np.int64(15)]","[np.int64(10), np.int64(12), np.int64(1), np.int64(10), np.int64(3), np.int64(7), np.int64(8), np.int64(1), np.int64(4), np.int64(15), np.int64(15), np.int64(13), np.int64(6), np.int64(8), np.int64(9), np.int64(9)]",False,False,0.0,0.0,[ 4  1  1 13  1  2 14 14 14  2  4  4  4  1 13  4],[ 4  1  1 13  1  2 12 14 14  2  4  4  4  1  2  4],True,True,0.625,0.8125,[ 4  1  1 13  1  2  3  9 14  2  4  4  4  1 13  4],[ 4  1  1 13  1  2 14 14 14  2  4  4  4  1 13  4],True,True,0.71875,0.875,0.6,1.0,1.0,15,15,25,0.6,1.0,1.0,15,15,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.6,1.0,1.0,15,15,25,0.44,1.0,1.0,11,11,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
